,name,ra,dec,t90,t90_error,error_radius
,GRB080714086,024736.0,+083000,5.376,2.360,7.5000
,GRB080714425,123000.0,-740000,40.192,1.145,8.7000
,GRB080714745,123224.0,-601200,59.649,11.276,0.0000
,GRB080715950,141848.0,+095400,7.872,0.272,2.0000
,GRB080717543,094912.0,-700000,36.608,2.985,4.7000
,GRB080719529,101248.0,-611800,16.128,17.887,13.8000
,GRB080723557,114712.0,-601200,58.369,1.985,0.0000
,GRB080723913,073312.0,-194200,0.192,0.345,9.9000
,GRB080723985,070112.0,+710600,42.816,0.659,1.0000
,GRB080724401,235312.0,+325400,379.397,2.202,1.6000
,GRB080725435,080648.0,-140000,25.920,1.208,0.0000
,GRB080725541,233912.0,+085400,0.960,1.292,3.5000
,GRB080727964,021024.0,+640600,89.089,6.476,0.0000
,GRB080730520,162136.0,+043600,17.408,6.229,2.1000
,GRB080730786,162624.0,+284200,13.312,4.222,2.1000
,GRB080802386,101712.0,+404200,0.576,0.091,4.1000
,GRB080803772,200024.0,+824800,26.240,1.691,5.9000
,GRB080804456,071000.0,+201800,521.862,4.291,7.3000
,GRB080804972,215448.0,-531200,24.704,1.460,0.0000
,GRB080805496,213048.0,+475400,29.440,3.566,5.6000
,GRB080805584,113800.0,-230600,65.665,14.676,5.7000
,GRB080806584,061824.0,+574800,2.304,0.453,13.6000
,GRB080806896,160712.0,+464200,75.777,4.185,2.9000
,GRB080807993,064648.0,-160000,19.072,0.181,2.6000
,GRB080808451,070936.0,-334800,4.352,0.832,13.6000
,GRB080808565,021424.0,+052400,17.728,1.489,2.6000
,GRB080808772,062648.0,-142400,210.178,5.976,12.3000
,GRB080809808,060648.0,+612400,28.160,2.896,7.1000
,GRB080810549,234712.0,+001912,75.201,3.638,0.0000
,GRB080812889,114648.0,-331200,15.040,0.462,4.1000
,GRB080815917,160336.0,-474800,0.832,0.320,6.3000
,GRB080816503,102448.0,+423600,64.769,1.810,2.0000
,GRB080816989,191800.0,-064800,4.608,0.453,5.3000
,GRB080817161,095536.0,-161800,60.289,0.466,1.0000
,GRB080817720,052048.0,-170600,4.416,0.363,5.7000
,GRB080818579,040136.0,-065400,59.329,8.749,6.5000
,GRB080818945,063224.0,+072400,13.376,0.410,7.3000
,GRB080821332,155424.0,+323600,5.888,0.264,3.6000
,GRB080823363,055912.0,-422400,43.456,1.717,3.3000
,GRB080824909,080936.0,-024800,7.424,2.005,1.0000
,GRB080825593,153600.0,-044200,20.992,0.231,1.5000
,GRB080828189,144512.0,-121800,3.008,3.329,16.9000
,GRB080829790,144736.0,+031200,7.680,0.377,4.3000
,GRB080830368,104024.0,+304800,40.897,5.069,2.5000
,GRB080831053,140448.0,-514200,0.576,1.168,11.5000
,GRB080831921,171624.0,-231200,74.497,1.243,2.8000
,GRB080904886,141648.0,-301800,17.344,1.385,2.1000
,GRB080905499,191048.0,-185400,0.960,0.345,0.0000
,GRB080905570,062736.0,-694800,26.624,2.896,8.0000
,GRB080905705,200648.0,-623600,105.984,6.802,0.0000
,GRB080906212,121112.0,-062400,2.875,0.767,1.3000
,GRB080912360,014312.0,-071200,16.384,2.896,7.1000
,GRB080913735,030024.0,-030000,41.217,7.281,5.9000
,GRB080916009,075912.0,-563600,62.977,0.810,0.0000
,GRB080916406,222512.0,-570000,46.337,7.173,0.0000
,GRB080919790,143800.0,+442400,0.512,0.405,18.1000
,GRB080920268,080624.0,+085400,113.921,3.125,5.4000
,GRB080924766,045112.0,+323000,39.937,4.222,4.4000
,GRB080925775,062424.0,+181200,31.744,3.167,1.2000
,GRB080927480,040512.0,+272400,45.313,3.083,4.6000
,GRB080928628,062024.0,-551200,14.336,4.007,0.0000
,GRB081003644,171624.0,+352400,50.177,3.692,6.9000
,GRB081006604,092800.0,-672400,6.400,0.923,8.0000
,GRB081006872,112848.0,-610000,3.328,1.305,8.7000
,GRB081008832,184000.0,-572400,126.722,2.360,0.0000
,GRB081009140,164200.0,+182400,41.345,0.264,1.0000
,GRB081009690,041824.0,+141200,34.560,2.064,2.1000
