GRB	BAT RA (J2000)	BAT Dec (J2000)	BAT 90% Error Radius [arcmin]	BAT T90 [sec]
230826A	83.048	66.129	1.0	41.07
230818A	285.888	40.888	1.1	9.82
230816A	328.453	37.853	1.2	20.48
230815A	184.760	-58.067	1.2	17.00
230805B	207.738	31.190	2.1	93.77
230802A	76.232	19.552	1.0	175.62
230728A	343.514	28.169	1.3	15.10
230723B	250.391	-5.319	1.0	6.64
230628E	171.851	-11.430	2.4	4.72
230622A	292.516	-32.972	2.2	18.37
230618A	196.642	3.278	1.7	104.05
230606A	166.777	36.504	2.5	16.26
230510A	318.138	34.430	1.0	178.4
230506C	134.371	45.131	1.4	31.00
230506B	326.986	44.514	1.2	61.54
230427A	153.339	48.231	3.3	4.00
230423A	122.618	-21.901	2.3	23.60
230420A	161.040	32.111	1.5	111.75
230414B	181.052	53.179	2.4	25.98
230409B	329.516	52.832	1.7	9.79
230405B	271.467	-47.070	3	n/a
230328B	291.037	80.013	1.0	19.23
230325A	296.854	-46.067	1.5	38.05
230322B	16.550	-47.709	1.7	11.61
230228A	18.397	44.495	1.5	2.18
230217A	280.759	-28.840	1.3	1.30
230216A	113.966	-7.993	2.1	91.20
230205A	202.057	46.686	2.3	2.30
230204A	238.166	-50.848	2.4	182.05
230123A	40.905	-65.661	1.8	5.37
230116D	98.584	49.831	2.9	41.00
221231A	336.260	25.138	5	n/a
221226B	22.903	-41.515	1.2	3.44
221216A	326.023	-34.394	1.3	174.48
221202A	77.002	-59.836	2.1	10.34
221201A	266.903	-68.230	1.0	33.71
221120A	41.363	43.241	1.8	0.79
221110A	29.106	-27.298	1.5	8.98
221028A	314.198	41.082	1.6	57.1
221027B	225.601	47.451	1.6	8.66
221024A	169.702	33.068	2.9	120
221016A	38.938	-34.615	1.0	21.86
221009A	288.254	19.809	2.4	1068.40
220930A	64.725	13.353	1.7	180.47
220907A	268.869	-20.303	1.9	8.49
220826A	206.421	-44.036	1.1	11.14
220813A	81.501	-32.985	3	n/a
220730A	224.988	-69.496	1.7	0.19
220715B	254.860	-33.586	1.1	40.40
220714B	47.086	-19.321	1.3	50.10
220711B	262.018	24.674	1.3	88.64
220710A	221.592	20.657	2	n/a
220708B	248.652	36.338	5	n/a
220708A	103.038	72.199	2.2	4.4
220706A	0.577	-16.411	1.8	86.9
220701A	242.474	55.436	2.5	5.77
220623A	145.459	75.823	1.0	57.11
220618A	38.986	55.218	2.0	96.00
